news_id,manchete_emocao,manchete_polaridade,f1_emocao,f1_polaridade,f2_emocao,f2_polaridade,f3_emocao,f3_polaridade,geral_emocao,geral_polaridade,pensamento,manchete,f1,f2,f3
141,medo,negativo,medo,negativo,neutro,neutro,medo,negativo,medo,negativo,"A manchete é negativa e reflete medo devido ao impacto financeiro significativo da perda estimada. A primeira parte, f1, também gera medo com a informação sobre a perda bilionária anual e a correção monetária favorável aos estados. A segunda parte, f2, apresenta uma informação neutra, focando nos detalhes factuais sobre o impacto fiscal e a distribuição da dívida. A terceira parte, f3, é negativa e reflete medo devido ao alerta sobre o risco de desequilíbrio fiscal, aumentando a incerteza sobre as finanças públicas.",Governo estima perda de até R$ 106 bilhões com renegociação de dívidas dos estados,"O governo de Lula estima uma perda de até R$ 106 bilhões em cinco anos com a nova lei de renegociação das dívidas estaduais, que prevê a zeragem dos juros e a correção pelo IPCA.","O impacto fiscal de aproximadamente R$ 21 bilhões ao ano não será considerado nas metas fiscais, e o total da dívida dos estados com a União é de cerca de R$ 760 bilhões, concentrada em 90% por Rio de Janeiro, São Paulo, Minas Gerais e Rio Grande do Sul.","Apesar das medidas para reduzir os juros e incentivar investimentos, especialistas alertam para o risco de aumento do desequilíbrio fiscal caso a adesão ao programa seja ampla entre os estados."
148,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,"A manchete indica uma ação importante e iminente, gerando expectativa sobre a sanção da Reforma Tributária, mas sem expressar uma emoção clara, então é neutro. F1 segue a mesma linha, focando na discussão de vetos e prazos, mantendo o caráter informativo e neutro. F2 explica a proposta com detalhes técnicos, o que também é neutro. F3 menciona a alíquota e a simplificação do sistema tributário, mas de forma descritiva, sem carga emocional, portanto, neutro. A notícia geral é neutra, pois se concentra na transmissão de informações factuais e esperadas sobre a regulamentação da Reforma Tributária.",Lula se reúne hoje com ministros para discutir sanção da regulamentação da Reforma Tributária,"O presidente Lula reúne sua equipe para discutir possíveis vetos ao projeto de regulamentação da Reforma Tributária, cujo prazo de assinatura se encerra nesta quinta-feira.","A proposta, aprovada pelo Congresso em 2023, cria um sistema de tributos baseado no Imposto sobre Valor Agregado (IVA), com uma estrutura dual que inclui a Contribuição sobre Bens e Serviços (CBS) e o Imposto sobre Bens e Serviços.","A regulamentação busca estabelecer uma alíquota padrão de 26,5%, com mecanismos para ajustes caso essa taxa seja ultrapassada, visando simplificar e unificar o sistema tributário brasileiro."
155,alegria,positivo,alegria,positivo,alegria,positivo,neutro,positivo,alegria,positivo,"A manchete expressa alegria e polaridade positiva ao anunciar uma oportunidade de investimento para alunos do programa Pé-de-Meia, indicando um benefício adicional. O f1 reforça a alegria e polaridade positiva ao detalhar a regulamentação do programa, permitindo investimentos em produtos financeiros seguros e rentáveis. O f2 mantém a alegria e polaridade positiva ao destacar que a iniciativa oferece opções seguras e de baixo custo, incentivando a permanência escolar e a produtividade. O f3, embora neutro em emoção, tem polaridade positiva ao apresentar fatos sobre a criação e o alcance do programa, sem expressar juízo de valor ou especulação.",Pé-de-Meia: alunos poderão investir incentivo-conclusão de R$ 1 mil no Tesouro Direto e em ETFs,"O Ministério da Fazenda e o Ministério da Educação anunciaram que, até fevereiro, autorizarão que alunos beneficiários do programa Pé-de-Meia possam investir o incentivo de R$ 1 mil no Tesouro Direto e em ETFs, como parte da regulamentação do programa.","A iniciativa visa oferecer opções de investimento seguras e de baixo custo, incentivando a permanência escolar e a produtividade dos estudantes, com uma pequena parcela dos recursos podendo ser aplicada em ETFs.","O programa, criado em 2023, beneficia atualmente 3,9 milhões de estudantes e tem um custo de R$ 12,5 bilhões, buscando promover a educação e a economia por meio de incentivos financeiros."
342,tristeza,neutro,tristeza,neutro,alegria,positivo,alegria,positivo,alegria,positivo,"A manchete indica uma queda na produção industrial, sugerindo uma emoção de tristeza, mas a polaridade é neutra, pois não indica um impacto de longo prazo. A f1 reforça a emoção de tristeza, mas a polaridade continua neutra, uma vez que menciona uma recuperação anterior e comparação com expectativas, sem um julgamento claro. A f2 apresenta uma emoção de alegria, com polaridade positiva, destacando resultados positivos ao longo do ano devido ao aquecimento econômico e outros fatores favoráveis. A f3 mantém uma emoção de alegria, com polaridade positiva, ao reiterar o crescimento do setor apesar das variações mensais. No geral, a emoção dominante da notícia é alegria, com polaridade positiva, pois apesar da queda pontual, o cenário geral é de crescimento e resultados positivos.","Produção industrial recua 0,2% em outubro, após dois meses de crescimento","A produção industrial brasileira recuou 0,2% em outubro, após dois meses de crescimento, e ficou abaixo das expectativas do mercado.","Apesar da queda neste mês, o setor industrial apresenta resultados positivos ao longo do ano, impulsionado pelo cenário de aquecimento econômico, desemprego em mínimas históricas e aumento da renda das famílias.","Esses fatores contribuem para a manutenção do crescimento do setor, mesmo diante de variações mensais."
376,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,"A manchete expressa uma expectativa neutra sobre um evento futuro, a votação da Reforma Tributária. F1 também é neutro, apenas informando sobre o andamento da reforma. F2 e F3 apresentam aspectos mais específicos da reforma, com uma abordagem neutra, focando em informações factuais sobre possíveis impactos e medidas incluídas na proposta. No geral, a notícia é neutra, pois não expressa emoções fortes nem avalia o impacto positivo ou negativo da reforma.",Reforma Tributária: relatório está em fase final e votação será na semana do dia 10 de dezembro,"O parecer da regulamentação da Reforma Tributária no Senado está em fase de finalização, com previsão de votação na semana do dia 10 de dezembro.","O relator, Eduardo Braga, busca incluir uma isenção na CBS para produtos comercializados na Zona Franca de Manaus, argumentando que a ausência dessa medida pode gerar distorções de mercado e perda de empregos.","A proposta também prevê a retomada do imposto seletivo sobre armas e munições, além da unificação de cinco impostos sobre consumo em um único IVA, mantendo o IPI para produtos da Zona Franca."
392,alegria,positivo,alegria,positivo,medo,negativo,neutro,neutro,neutro,neutro,"A manchete transmite alegria devido à possibilidade de isenção do Imposto de Renda para um grande número de brasileiros, o que é positivo. F1 também é alegre, pois detalha a amplitude do benefício, reforçando a positividade. F2 introduz uma proposta para compensar essa perda, o que pode gerar medo, pois fala de tributação sobre super-ricos, uma medida que ainda precisa ser aprovada e gera incerteza. F3 é neutro, pois apesar de mencionar ajuste fiscal e limitação de aumento do salário mínimo, não transmite uma emoção forte, apenas informa medidas factuais. O geral é neutro, pois apesar da alegria inicial, as incertezas e ajustes fiscais equilibram a polaridade.","Isenção de IR até R$ 5 mil pode custar R$ 45,8 bilhões aos cofres públicos, calcula Warren","O governo anunciou a isenção do Imposto de Renda para trabalhadores com carteira assinada e salários de até R$ 5 mil, beneficiando cerca de 36 milhões de brasileiros e podendo gerar um custo anual de R$ 45,8 bilhões.","Para compensar a perda de arrecadação, o governo planeja implementar uma tributação sobre os super-ricos, incluindo um imposto mínimo sobre lucros e dividendos superiores a R$ 50 mil mensais, sujeito à aprovação do Congresso.","Além disso, o governo também divulgará medidas de ajuste fiscal, como a limitação do aumento real do salário mínimo a 2,5% ao ano, impactando benefícios previdenciários e sociais."
394,alegria,positivo,alegria,positivo,medo,negativo,neutro,neutro,medo,negativo,"A manchete expressa uma emoção de alegria, pois anuncia uma medida que beneficia os trabalhadores, aumentando a faixa de isenção do Imposto de Renda, o que é positivo. A f1 também apresenta uma emoção de alegria, com uma polaridade positiva, pois destaca o benefício para os trabalhadores sem associação a cortes de gastos. A f2 reflete uma emoção de medo, com uma polaridade negativa, pois menciona medidas restritivas que podem afetar o salário mínimo e o abono salarial, gerando incerteza sobre o futuro das despesas públicas. A f3 tem uma emoção neutra, com uma polaridade neutra, pois é uma informação factual sobre o anúncio de um pacote de ajustes fiscais. O rótulo geral da notícia é medo, com uma polaridade negativa, pois, embora haja uma medida positiva de isenção de IR, as medidas restritivas e o foco no controle de despesas públicas criam incertezas e preocupações.",Haddad anunciará isenção de IR para quem ganha até R$ 5 mil a partir de 2026 e taxação de super-rico,"O ministro da Fazenda, Fernando Haddad, anunciou que a isenção do Imposto de Renda para trabalhadores com carteira assinada que ganham até R$ 5 mil começará a valer em 2026, com financiamento específico e sem relação com cortes de gastos.","Além disso, o governo planeja implementar uma ""trava"" de 2,5% no reajuste real do salário mínimo e limitar o pagamento do abono salarial a trabalhadores com renda de até 1,5 salário-mínimo, como medidas para controlar o crescimento das despesas públicas.",Essas ações fazem parte de um pacote de ajustes fiscais que visa equilibrar as contas do governo e será detalhado em pronunciamento na noite de quarta-feira.
397,alegria,positivo,alegria,positivo,neutro,neutro,alegria,positivo,alegria,positivo,"A manchete expressa expectativa e possível alegria pela promessa de isenção do Imposto de Renda, refletindo uma polaridade positiva. A f1 reitera essa alegria ao mencionar a promessa de campanha, mas não apresenta detalhes que indiquem resistência ou dificuldades, mantendo a polaridade positiva. A f2 introduz um elemento de cautela e restrição, mencionando resistência na equipe econômica e medidas compensatórias, indicando uma polaridade neutra devido ao equilíbrio entre a promessa positiva e as contramedidas necessárias. A f3 reforça a alegria ao destacar a justiça fiscal e a demanda popular atendida, mantendo uma polaridade positiva. Geralmente, a notícia é positiva, pois a promessa de isenção é vista como benéfica para os trabalhadores, apesar das complexidades mencionadas.",Haddad deve anunciar isenção de IR para quem ganha até R$ 5 mil em pronunciamento na TV,"O ministro da Fazenda, Fernando Haddad, deve anunciar a isenção de Imposto de Renda para quem ganha até R$ 5 mil, como parte do pacote de corte de gastos e de acordo com promessa de campanha de Lula.","A medida, que enfrenta resistência na equipe econômica, visa ampliar a faixa de isenção e será acompanhada de novas arrecadações para compensar a renúncia fiscal, além de limitar o reajuste real do salário mínimo a 2,5%.","A iniciativa busca atender a uma demanda popular e promover justiça fiscal, conforme declarado por Lula, que defende a isenção para trabalhadores até esse limite salarial."
401,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,"A manchete reflete uma postura cautelosa e ponderada do Fed, indicando ajustes graduais, o que sugere uma emoção de Neutro, pois não há uma carga emocional clara e a polaridade é Neutro, já que não indica diretamente um cenário positivo ou negativo. O f1 explica a decisão com base em dados econômicos, mantendo a neutralidade e a cautela, o que é Neutro com uma polaridade Neutro. O f2 confirma uma ação recente de redução de juros, mas sem compromisso com futuros cortes, o que indica uma postura de cautela e neutralidade, rotulando como Neutro com polaridade Neutro. O f3 reforça a cautela com a menção de uma nova reunião e a consideração da inflação, o que mantém a emoção Neutro e a polaridade Neutro. O rótulo geral da notícia é Neutro com polaridade Neutro, pois o texto como um todo transmite informações factuais e cautelosas sem expressar otimismo ou pessimismo claros.",Fed busca ajustes 'graduais' nas futuras decisões sobre juros,"Os membros do FOMC do Federal Reserve destacaram a prioridade de ajustes graduais na política de juros, considerando dados econômicos mais fortes do que o esperado entre setembro e novembro.","Em 7 de novembro, o Fed reduziu as taxas de juros em um quarto de ponto, marcando a segunda redução consecutiva desde setembro, sem indicar cortes adicionais no curto prazo.","Os participantes planejam uma nova reunião em dezembro para revisar as taxas, mantendo a cautela diante da inflação em 2,6% em outubro."
412,alegria,positivo,neutro,neutro,medo,negativo,alegria,positivo,neutro,neutro,"A manchete indica uma revisão para baixo das expectativas de inflação, o que é positivo para a economia, mas ainda mantém um nível elevado. O f1 reitera essa informação, focando na ligeira redução, o que pode ser visto como neutro, pois não é uma queda drástica. O f2 apresenta um cenário de que a meta de inflação será ultrapassada e a taxa Selic aumentará, sugerindo um ambiente econômico de cautela, caracterizando medo devido à incerteza sobre inflação e juros. O f3, no entanto, destaca o crescimento econômico e a valorização do dólar, indicando um sentimento de alegria e otimismo com a economia.","Boletim Focus: mercado reduz para 4,63% expectativa de inflação para 2024","As expectativas do mercado financeiro para a inflação em 2024 foram revisadas para baixo, com previsão de 4,63%, ligeiramente abaixo dos 4,64% da semana anterior.","O Boletim Focus indica que a meta de inflação, de 3%, será ultrapassada neste ano, enquanto o Banco Central mantém a taxa Selic em 11,25%, com projeção de alta para 11,75% até o final do ano.","Além disso, o mercado projeta uma valorização do dólar para R$ 5,70 em 2024 e um crescimento do PIB de 3,17%, indicando otimismo em relação à economia brasileira."
448,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,neutro,"A manchete reflete uma sensação de ‘prontidão’ e ‘dependência de autorização’, sugerindo que o governo está preparado mas aguarda decisão de Lula, o que indica uma postura de cautela e não de alegria ou negatividade. Por isso, é neutra. O f1 menciona medidas de corte de gastos, incluindo ajustes em previdência militar e benefícios sociais, que podem gerar incerteza e medo de perdas futuras, mas é apresentado de forma factual, o que o torna neutro. O f2 aborda discussões técnicas sobre a sustentabilidade fiscal, sugerindo preparação e planejamento, o que é neutro. O f3 foca na semântica do termo “corte” versus “ajustes”, indicando uma tentativa de mitigar reações negativas, o que mantém a neutralidade. No geral, a notícia transmite informações factuais sobre possíveis medidas de ajuste fiscal, sem uma emoção dominante, mantendo-se neutra.",Haddad diz estar pronto para anunciar medidas de corte de gastos e decisão depende de Lula,"O ministro Fernando Haddad afirmou que o governo está preparado para anunciar medidas de corte de gastos assim que o presidente Lula autorizar, incluindo ajustes na previdência militar e benefícios sociais.","Técnicos dos ministérios e das Forças Armadas estão discutindo detalhes dessas ações, que visam garantir a sustentabilidade fiscal a médio e longo prazo, sem foco exclusivo em 2025 e 2026.","Apesar de ainda não haver uma previsão oficial, o governo busca evitar o termo “corte”, preferindo “ajustes” nas mudanças propostas."
503,medo,positivo,medo,positivo,medo,positivo,medo,neutro,medo,positivo,"A manchete expressa uma determinação e proposta de ação para melhorar a eficiência das políticas públicas, o que sugere uma emoção de medo, pois é uma resposta a situações de incerteza econômica e a necessidade de mudanças. No entanto, a polaridade é positiva devido à proposta de melhoria. O f1 continua com a mesma ideia de buscar eficiência, reforçando a emoção de medo, com polaridade positiva. O f2 mantém a emoção de medo, mas a polaridade positiva se destaca pela proposta de austeridade visando eficiência. O f3 indica um contexto de espera e possíveis mudanças, o que reforça a emoção de medo, com polaridade neutra, pois não há uma avaliação clara de impacto imediato. No geral, a notícia transmite uma emoção de medo devido ao contexto de incerteza e necessidade de cortes, mas com uma polaridade geral positiva focada em melhorias e eficiência.",Tebet diz ser hora de acabar com políticas públicas ineficientes: Temos que ter a coragem de cortar,"A ministra do Planejamento, Simone Tebet, defendeu a redução de políticas públicas ineficientes para equilibrar as contas públicas e aumentar os investimentos no Brasil.","Ela destacou que a austeridade visa não apenas o superávit, mas também a maior eficiência do gasto público, ressaltando a necessidade de coragem para cortar despesas consideradas ineficientes.","As discussões sobre o corte de gastos continuam em Brasília, com possíveis mudanças na legislação aguardando o momento oportuno após o segundo turno das eleições municipais."
505,alegria,positivo,alegria,positivo,alegria,positivo,neutro,neutro,alegria,positivo,"A manchete expressa alegria ao destacar um potencial cenário positivo para a redução dos juros, fruto de um 'choque fiscal positivo'. O f1 reitera essa emoção ao explicar como um 'choque fiscal positivo' pode aumentar a confiança do mercado, levando a juros mais baixos. O f2 mantém a alegria ao descrever a importância de mudanças significativas nas expectativas para reverter a inflação, facilitando uma política monetária sustentável. O f3 é neutro, pois apresenta uma informação factual sobre o governo buscando fortalecer o arcabouço fiscal, sem expressar emoção ou polaridade específica. A emoção geral da notícia é alegria, refletindo o otimismo sobre a possibilidade de juros mais baixos com uma política fiscal mais responsável.",Campos Neto volta a defender 'choque fiscal positivo' para que Brasil tenha juros mais baixos,"Roberto Campos Neto, presidente do Banco Central, reforçou a necessidade de um “choque fiscal positivo” para aumentar a confiança do mercado e possibilitar a redução dos juros no Brasil.",Ele destacou que uma mudança de expectativa significativa é essencial para reverter a previsão de inflação e facilitar uma trajetória mais sustentável para a política monetária.,"Enquanto isso, o governo busca fortalecer o arcabouço fiscal como medida estrutural para garantir o cumprimento das metas fiscais e melhorar a credibilidade econômica do país."
